H_L0.1_weight,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L3_covariance,HH_L3_pcc,HH_L1_std,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_std,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L3_variance,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L1_pcc,HpHp_L0.1_radius,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,type,client_id
0.7168441,0.80198,0.25028133,0.12743674,0.38159412,0.46982324,1.44E-06,1.54E-12,0.34851477,0.4641461,0.004264385,1.55E-05,0.38961926,0.4486558,0.006252993,3.76E-05,0.43765217,0.46403483,1.46E-22,1.10E-22,0.58516616,1.31E-10,0.71278125,6.17E-06,2.43E-05,0.43570697,0,0.4486267,0,0,0.35886526,0,0.58125275,0.47003502,1,3
0.0015456987,0.001660502,0.06615513,0.09364391,0.38159412,0.46982324,1.39E-09,1.44E-18,0.34851477,0.4641461,0,0,0.38961926,0.4486558,9.93E-10,9.50E-19,0.43765217,0.46403483,9.35E-17,3.44E-15,0.00036638326,9.65E-15,0.00011305226,2.58E-08,9.42E-15,0.43570697,0,0.4486267,0.000391952,9.90E-10,2.08E-17,9.50E-19,0.58125275,0.47003502,0,1
0.0010591802,0.0015653424,0.008132599,0.0007672064,0.38159412,0.46982324,0.0007567262,4.27E-07,0.34851477,0.4641461,0.011708691,0.00012569329,0.38961366,0.42218778,0.010565289,0.00015089005,0.43765572,0.46892023,5.22E-26,4.72E-20,0.00013484334,2.13E-17,0.00035133678,5.26E-09,4.96E-17,0.43570697,0.00013563284,0.42216036,0.0012180841,0.010525497,0.028066255,0.00015086072,0.5812556,0.47486567,0,2
0.38149533,0.13322134,0.19711782,0.14075395,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826661,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,1,0
0.36544937,0.47408137,0.0060178186,0.000106227846,0.38159412,0.46982324,0.00015315997,1.75E-08,0.34851477,0.4641461,0.00074833946,4.76E-07,0.38961926,0.4486558,0.00080388313,6.21E-07,0.43765217,0.46403483,2.47E-20,9.76E-21,0.27682433,9.41E-12,0.36449438,8.60E-06,3.38E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3,2
0.37772286,0.43505436,0.0060148076,0.000106228195,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826656,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,3,2
0.7215541,0.7567926,0.24381906,0.12169863,0.38159412,0.46982324,0.0005972881,2.66E-07,0.34851477,0.4641461,0.007677999,5.02E-05,0.38961926,0.4486558,0.006859475,4.52E-05,0.43765217,0.46403483,2.53E-22,1.85E-22,0.5903856,1.18E-09,0.6711834,8.17E-06,3.21E-05,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4,0
0.7164945,0.90815616,0.24437639,0.12145094,0.38159412,0.46982324,0.0003072587,7.03E-08,0.34851477,0.4641461,0.007184499,4.39E-05,0.38961926,0.4486558,0.006835527,4.49E-05,0.43765217,0.46403483,4.65E-23,1.05E-22,0.5905659,2.42E-13,0.8072662,2.90E-06,1.14E-05,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4,0
0.7444516,0.7974907,0.0070821266,9.59E-05,0.38159412,0.46982324,2.49E-07,4.60E-14,0.34851477,0.4641461,0.0001753436,2.62E-08,0.38961926,0.4486558,0.00024779316,5.90E-08,0.43765217,0.46403483,1.89E-22,1.50E-22,0.61634845,8.07E-10,0.72436446,7.31E-06,2.88E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3,3
0.22430608,0.30589932,7.50E-05,3.84E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266315,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2,4
