H_L0.1_weight,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L3_covariance,HH_L3_pcc,HH_L1_std,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_std,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L3_variance,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L1_pcc,HpHp_L0.1_radius,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,type
0.7168441,0.80198,0.25028133,0.12743674,0.38159412,0.46982324,1.44E-06,1.54E-12,0.34851477,0.4641461,0.004264385,1.55E-05,0.38961926,0.4486558,0.006252993,3.76E-05,0.43765217,0.46403483,1.46E-22,1.10E-22,0.58516616,1.31E-10,0.71278125,6.17E-06,2.43E-05,0.43570697,0,0.4486267,0,0,0.35886526,0,0.58125275,0.47003502,1
0.7444516,0.7974907,0.0070821266,9.59E-05,0.38159412,0.46982324,2.49E-07,4.60E-14,0.34851477,0.4641461,0.0001753436,2.62E-08,0.38961926,0.4486558,0.00024779316,5.90E-08,0.43765217,0.46403483,1.89E-22,1.50E-22,0.61634845,8.07E-10,0.72436446,7.31E-06,2.88E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.74681044,0.44257656,0.007094559,9.56E-05,0.38159412,0.46982324,0.00054503296,2.21E-07,0.34851477,0.4641461,0.00030086015,7.70E-08,0.38961926,0.4486558,0.0002311968,5.14E-08,0.43765217,0.46403483,9.83E-23,1.25E-22,0.63288504,3.87E-06,0.40273452,3.08E-05,0.00012112536,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.24887177,0.27979594,1.65E-05,1.67E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.982663,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.22990415,0.31846732,7.27E-05,3.64E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826633,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.001510094,0.0016210729,0.008383379,0.0008599573,0.38159412,0.46981642,0.011678808,0.000101614874,0.34851462,0.45803243,0.011393548,0.00015907915,0.38962168,0.45607388,0.010411427,0.00015738368,0.43767354,0.49234703,4.00E-17,4.04E-17,0.00027163266,5.71E-17,0.00037410753,4.93E-09,5.24E-17,0.42927653,0.00017165879,0.4560443,0.0012970302,0.010372214,0.028432023,0.00015735309,0.5812702,0.49802995,0
0.3951772,0.267583,0.21818323,0.13808219,0.38159412,0.46982324,0.00018673656,2.60E-08,0.34851477,0.4641461,0.02525743,0.0005427019,0.38961926,0.4486558,0.029098406,0.0008136647,0.43765217,0.46403483,1.74E-22,4.21E-22,0.32197124,2.26E-06,0.2075904,5.29E-05,0.00020814281,0.43570697,0,0.4486267,0,0,0.35886526,0,0.58125275,0.47003502,1
0.22281724,0.3157786,7.36E-05,3.74E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826632,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.4839809,0.5903597,0.21505578,0.13117136,0.38159412,0.46982324,0.00042720628,1.36E-07,0.34851477,0.4641461,0.010056521,8.60E-05,0.38961926,0.4486558,0.012596699,0.00015248271,0.43765217,0.46403483,4.74E-22,8.89E-22,0.3538199,2.31E-14,0.46183792,3.81E-06,1.50E-05,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.0011034999,0.0016121424,0.00783466,0.0009065264,0.38159412,0.46982324,0.000300636,0.00014693665,0.34851477,0.46387902,0.025757426,0.0008465505,0.38976374,0.5329906,0.03326733,0.0013307913,0.43790558,0.50441116,1.01E-17,1.01E-17,0.0011618433,7.73E-18,0.0016995366,7.70E-10,7.12E-18,0.43570697,0.000104259074,0.4486267,0.0014544895,1.77E-05,0.039197523,0.0005055437,0.58125275,0.46993762,0
